from_id,to_id,travel_time
E00054762,non_FS_14,26.0
E00054762,non_FS_18,29.0
E00054805,non_FS_14,26.0
E00054805,non_FS_18,27.0
E00054802,non_FS_14,26.0
E00054802,non_FS_18,23.0
E00054531,non_FS_24,25.0
E00054804,non_FS_14,28.0
E00054804,non_FS_18,24.0
E00054797,non_FS_18,19.0
E00054796,non_FS_18,27.0
E00054795,non_FS_18,22.0
E00054792,non_FS_18,15.0
E00054794,non_FS_18,20.0
E00054781,non_FS_18,25.0
E00054793,non_FS_18,16.0
E00054787,non_FS_18,15.0
E00054780,non_FS_18,21.0
E00054801,non_FS_18,26.0
E00054798,non_FS_18,23.0
E00054791,non_FS_18,16.0
E00054789,non_FS_18,24.0
E00054760,non_FS_18,29.0
E00054202,non_FS_18,18.0
E00054786,non_FS_18,17.0
E00054206,non_FS_18,9.0
E00054205,non_FS_18,10.0
E00054203,non_FS_18,8.0
E00054203,non_FS_22,30.0
E00054198,non_FS_18,4.0
E00054198,non_FS_22,24.0
E00054204,non_FS_18,13.0
E00054204,non_FS_22,24.0
E00054195,non_FS_18,17.0
E00054195,non_FS_22,26.0
E00054200,non_FS_18,7.0
E00054200,non_FS_22,25.0
E00054197,non_FS_18,11.0
E00054197,non_FS_22,21.0
E00054199,non_FS_18,6.0
E00054199,non_FS_22,23.0
E00054671,non_FS_22,29.0
E00054669,non_FS_18,29.0
E00054177,non_FS_18,13.0
E00054177,non_FS_22,18.0
E00054670,non_FS_18,28.0
E00054670,non_FS_22,24.0
E00054665,non_FS_22,26.0
E00054668,non_FS_22,29.0
E00054194,non_FS_18,21.0
E00054194,non_FS_22,19.0
E00054201,non_FS_18,19.0
E00054201,non_FS_22,26.0
E00054179,non_FS_18,8.0
E00054179,non_FS_22,23.0
E00054178,non_FS_18,9.0
E00054178,non_FS_22,21.0
E00054191,non_FS_18,17.0
E00054191,non_FS_22,19.0
E00054192,non_FS_18,19.0
E00054192,non_FS_22,13.0
E00054193,non_FS_18,17.0
E00054193,non_FS_22,10.0
E00054196,non_FS_18,14.0
E00054196,non_FS_22,12.0
E00054189,non_FS_18,18.0
E00054189,non_FS_22,9.0
E00054176,non_FS_18,18.0
E00054176,non_FS_22,7.0
E00177864,non_FS_18,23.0
E00177864,non_FS_22,20.0
E00054190,non_FS_18,15.0
E00054190,non_FS_22,13.0
E00054663,non_FS_18,29.0
E00054663,non_FS_22,22.0
E00054699,non_FS_18,26.0
E00054699,non_FS_22,19.0
E00054700,non_FS_22,25.0
E00054188,non_FS_18,22.0
E00054188,non_FS_22,12.0
E00054698,non_FS_18,27.0
E00054698,non_FS_22,17.0
E00054698,non_FS_41,29.0
E00054175,non_FS_18,21.0
E00054175,non_FS_22,12.0
E00054186,non_FS_18,25.0
E00054186,non_FS_22,11.0
E00054693,non_FS_18,26.0
E00054693,non_FS_22,15.0
E00054693,non_FS_41,27.0
E00054183,non_FS_18,24.0
E00054183,non_FS_22,4.0
E00054526,non_FS_24,29.0
E00054564,non_FS_24,24.0
E00054566,non_FS_24,29.0
E00054528,non_FS_24,13.0
E00176148,non_FS_24,24.0
E00054558,non_FS_24,19.0
E00176187,non_FS_24,27.0
E00055688,non_FS_24,23.0
E00054567,non_FS_24,18.0
E00054562,non_FS_24,18.0
E00054563,non_FS_24,11.0
E00054559,non_FS_24,16.0
E00054560,non_FS_24,10.0
E00054557,non_FS_24,8.0
E00054556,non_FS_24,11.0
E00054553,non_FS_24,7.0
E00054554,non_FS_24,20.0
E00054185,non_FS_18,29.0
E00054185,non_FS_22,26.0
E00054181,non_FS_18,21.0
E00054181,non_FS_22,1.0
E00054184,non_FS_18,19.0
E00054184,non_FS_22,8.0
E00054187,non_FS_18,23.0
E00054187,non_FS_22,1.0
E00054182,non_FS_18,25.0
E00054182,non_FS_22,4.0
E00054226,non_FS_18,21.0
E00054226,non_FS_22,7.0
E00177772,non_FS_18,25.0
E00177772,non_FS_22,21.0
E00054174,non_FS_18,24.0
E00054174,non_FS_22,14.0
E00054224,non_FS_18,26.0
E00054224,non_FS_22,10.0
E00054684,non_FS_18,29.0
E00054684,non_FS_22,9.0
E00058195,non_FS_15,12.0
E00058195,non_FS_16,17.0
E00058185,non_FS_15,10.0
E00058185,non_FS_16,12.0
E00058196,non_FS_15,7.0
E00058196,non_FS_16,12.0
E00187102,non_FS_15,1.0
E00187102,non_FS_16,10.0
E00058091,non_FS_15,13.0
E00058091,non_FS_16,18.0
E00187077,non_FS_15,2.0
E00187077,non_FS_16,8.0
E00058177,non_FS_15,9.0
E00058177,non_FS_16,10.0
E00058194,non_FS_15,14.0
E00058194,non_FS_16,15.0
E00170475,non_FS_15,7.0
E00170475,non_FS_16,5.0
E00058192,non_FS_15,6.0
E00058192,non_FS_16,7.0
E00058178,non_FS_15,8.0
E00058178,non_FS_16,8.0
E00170476,non_FS_15,7.0
E00170476,non_FS_16,6.0
E00170474,non_FS_15,8.0
E00170474,non_FS_16,2.0
E00058088,non_FS_15,15.0
E00058088,non_FS_16,15.0
E00058187,non_FS_15,14.0
E00058187,non_FS_16,13.0
E00058222,non_FS_15,10.0
E00058222,non_FS_16,4.0
E00058087,non_FS_15,17.0
E00058087,non_FS_16,17.0
E00058189,non_FS_15,11.0
E00058189,non_FS_16,8.0
E00058216,non_FS_15,9.0
E00058216,non_FS_16,2.0
E00058217,non_FS_15,14.0
E00058217,non_FS_16,8.0
E00058223,non_FS_15,22.0
E00058223,non_FS_16,23.0
E00058186,non_FS_16,29.0
E00058188,non_FS_15,18.0
E00058188,non_FS_16,17.0
E00058224,non_FS_15,29.0
E00058224,non_FS_16,27.0
E00058221,non_FS_15,27.0
E00058221,non_FS_16,25.0
E00058218,non_FS_15,18.0
E00058218,non_FS_16,15.0
E00058175,non_FS_15,27.0
E00058175,non_FS_16,24.0
E00058213,non_FS_15,29.0
E00058213,non_FS_16,25.0
E00058212,non_FS_15,22.0
E00058212,non_FS_16,14.0
E00187084,non_FS_15,28.0
E00187084,non_FS_16,21.0
E00058109,non_FS_15,25.0
E00058109,non_FS_16,22.0
E00058080,non_FS_15,26.0
E00058080,non_FS_16,23.0
E00058110,non_FS_15,29.0
E00058110,non_FS_16,26.0
E00058107,non_FS_16,27.0
E00058104,non_FS_16,27.0
E00058106,non_FS_16,28.0
E00058079,non_FS_16,28.0
E00058103,non_FS_20,28.0
E00057921,non_FS_21,28.0
E00057011,non_FS_21,13.0
E00057011,non_FS_23,26.0
E00057007,non_FS_20,29.0
E00057007,non_FS_21,10.0
E00057007,non_FS_23,23.0
E00057006,non_FS_21,15.0
E00057006,non_FS_23,28.0
E00057010,non_FS_21,20.0
E00057008,non_FS_21,15.0
E00057008,non_FS_23,28.0
E00057002,non_FS_20,28.0
E00057002,non_FS_21,10.0
E00057002,non_FS_23,23.0
E00187142,non_FS_15,30.0
E00187142,non_FS_16,23.0
E00057012,non_FS_20,26.0
E00057012,non_FS_21,17.0
E00057012,non_FS_23,23.0
E00057009,non_FS_20,16.0
E00057009,non_FS_21,13.0
E00057009,non_FS_23,15.0
E00058094,non_FS_20,17.0
E00058094,non_FS_23,20.0
E00057004,non_FS_20,18.0
E00057004,non_FS_21,11.0
E00057004,non_FS_23,10.0
E00056995,non_FS_20,19.0
E00056995,non_FS_21,8.0
E00056995,non_FS_23,12.0
E00170438,non_FS_20,16.0
E00170438,non_FS_21,28.0
E00170438,non_FS_23,19.0
E00057037,non_FS_20,19.0
E00057037,non_FS_21,6.0
E00057037,non_FS_23,11.0
E00170441,non_FS_20,18.0
E00170441,non_FS_23,21.0
E00057005,non_FS_20,19.0
E00057005,non_FS_21,7.0
E00057005,non_FS_23,11.0
E00058100,non_FS_20,29.0
E00058102,non_FS_20,26.0
E00058102,non_FS_23,29.0
E00058095,non_FS_20,29.0
E00058098,non_FS_20,21.0
E00058098,non_FS_23,24.0
E00058097,non_FS_20,25.0
E00058097,non_FS_23,28.0
E00058096,non_FS_20,21.0
E00058096,non_FS_23,24.0
E00170436,non_FS_20,19.0
E00170436,non_FS_23,22.0
E00170439,non_FS_20,22.0
E00170439,non_FS_23,25.0
E00057003,non_FS_20,22.0
E00057003,non_FS_21,4.0
E00057003,non_FS_23,14.0
E00057044,non_FS_21,15.0
E00057044,non_FS_23,28.0
E00057047,non_FS_20,28.0
E00057047,non_FS_21,10.0
E00057047,non_FS_23,22.0
E00057041,non_FS_20,24.0
E00057041,non_FS_21,2.0
E00057041,non_FS_23,16.0
E00057031,non_FS_21,14.0
E00057031,non_FS_23,27.0
E00057046,non_FS_21,10.0
E00057046,non_FS_23,23.0
E00056994,non_FS_20,26.0
E00056994,non_FS_21,4.0
E00056994,non_FS_23,17.0
E00057036,non_FS_21,14.0
E00057036,non_FS_23,26.0
E00057040,non_FS_21,12.0
E00057040,non_FS_23,25.0
E00056993,non_FS_21,9.0
E00056993,non_FS_23,21.0
E00058076,non_FS_17,19.0
E00058077,non_FS_17,15.0
E00058075,non_FS_17,15.0
E00058074,non_FS_17,13.0
E00058069,non_FS_17,10.0
E00058219,non_FS_15,18.0
E00058219,non_FS_16,12.0
E00058215,non_FS_15,15.0
E00058215,non_FS_16,6.0
E00058214,non_FS_15,12.0
E00058214,non_FS_16,7.0
E00058121,non_FS_15,22.0
E00058121,non_FS_16,22.0
E00058220,non_FS_15,16.0
E00058220,non_FS_16,7.0
E00058083,non_FS_15,15.0
E00058083,non_FS_16,11.0
E00058125,non_FS_15,17.0
E00058125,non_FS_16,14.0
E00058111,non_FS_15,19.0
E00058111,non_FS_16,16.0
E00058124,non_FS_15,16.0
E00058124,non_FS_16,13.0
E00058123,non_FS_15,22.0
E00058123,non_FS_16,19.0
E00170435,non_FS_17,25.0
E00058081,non_FS_15,29.0
E00058081,non_FS_16,26.0
E00058116,non_FS_15,27.0
E00058116,non_FS_16,24.0
E00058108,non_FS_16,28.0
E00058082,non_FS_15,21.0
E00058082,non_FS_16,18.0
E00058122,non_FS_15,24.0
E00058122,non_FS_16,16.0
E00058120,non_FS_15,26.0
E00058120,non_FS_16,23.0
E00058115,non_FS_15,24.0
E00058115,non_FS_16,15.0
E00058117,non_FS_15,24.0
E00058117,non_FS_16,18.0
E00058113,non_FS_15,21.0
E00058113,non_FS_16,18.0
E00058118,non_FS_15,25.0
E00058118,non_FS_16,21.0
E00058119,non_FS_15,29.0
E00058119,non_FS_16,26.0
E00058112,non_FS_15,27.0
E00058112,non_FS_16,23.0
