"date","geography","geography code","Household size: Total: All household spaces; measures: Value","Household size: 0 people in household; measures: Value","Household size: 1 person in household; measures: Value","Household size: 2 people in household; measures: Value","Household size: 3 people in household; measures: Value","Household size: 4 people in household; measures: Value","Household size: 5 people in household; measures: Value","Household size: 6 people in household; measures: Value","Household size: 7 people in household; measures: Value","Household size: 8 or more people in household; measures: Value"
"2021","Tower Hamlets","E09000030",120539,0,38531,37437,17229,12514,7442,4036,1747,1603
"2021","Waltham Forest","E09000031",102901,0,26696,29957,18668,15319,6585,2968,1329,1379
"2021","Wandsworth","E09000032",137393,0,41132,46877,23047,17358,6119,1839,609,412
"2021","Westminster","E09000033",94815,0,40443,28605,12069,7583,3620,1455,491,549
"2021","Medway","E06000035",111458,0,30462,35753,19650,16738,6200,1875,524,256
"2021","Bracknell Forest","E06000036",50248,0,13465,16970,8935,7743,2258,639,162,76
"2021","West Berkshire","E06000037",66658,0,18008,24134,11005,9680,2807,748,207,69
"2021","Reading","E06000038",67683,0,19262,21183,11577,9585,3685,1426,584,381
"2021","Slough","E06000039",52423,0,11948,11950,9848,9564,4666,2369,1011,1067
"2021","Windsor and Maidenhead","E06000040",60935,0,16715,20250,10329,9479,2754,865,264,279
"2021","Wokingham","E06000041",69164,0,16265,23529,12396,12405,3405,832,223,109
"2021","Milton Keynes","E06000042",113102,0,29795,36133,20168,17498,6312,2152,668,376
"2021","Brighton and Hove","E06000043",121402,0,42101,40770,18122,14243,4244,1380,352,190
"2021","Portsmouth","E06000044",86154,0,27607,27805,13930,10788,4032,1291,476,225
"2021","Southampton","E06000045",102291,0,33711,32884,15636,12333,4934,1822,593,378
"2021","Isle of Wight","E06000046",64772,0,22484,25005,8437,5906,2025,626,184,105
"2021","Buckinghamshire","E06000060",220328,0,57889,74977,36693,34470,11108,3331,1107,753
"2021","Eastbourne","E07000061",45610,0,16205,15668,6398,4909,1670,511,162,87
"2021","Hastings","E07000062",40453,0,14441,13249,5951,4419,1623,503,168,99
"2021","Lewes","E07000063",43688,0,13539,16174,6478,5236,1663,427,137,34
"2021","Rother","E07000064",42101,0,13713,16801,5463,4069,1371,467,141,76
"2021","Wealden","E07000065",68266,0,18745,26958,10216,8620,2720,746,178,83
"2021","Basingstoke and Deane","E07000084",76645,0,20406,27492,13085,11005,3347,925,241,144
"2021","East Hampshire","E07000085",52717,0,13910,20238,8392,7348,2100,542,129,58
"2021","Eastleigh","E07000086",56926,0,15107,20845,9401,8494,2293,590,120,76
"2021","Fareham","E07000087",48639,0,13009,19043,7695,6693,1668,386,92,53
"2021","Gosport","E07000088",35922,0,11443,13042,5385,4039,1397,405,141,70
"2021","Hart","E07000089",39964,0,9836,14388,6854,6621,1790,362,75,38
"2021","Havant","E07000090",53589,0,15957,19947,8100,6469,2109,691,210,106
"2021","New Forest","E07000091",77565,0,22737,31381,10944,8818,2706,725,171,83
"2021","Rushmoor","E07000092",39300,0,10502,12618,7036,5974,2045,757,250,118
"2021","Test Valley","E07000093",54703,0,14464,20828,8947,7540,2145,575,136,68
"2021","Winchester","E07000094",51717,0,14333,19105,7874,7395,2271,545,146,48
"2021","Ashford","E07000105",53582,0,13861,18895,9068,7794,2670,886,275,133
"2021","Canterbury","E07000106",63792,0,19046,22843,9959,7927,2746,908,260,103
"2021","Dartford","E07000107",45696,0,11827,14013,8413,7779,2633,706,233,92
"2021","Dover","E07000108",50548,0,15658,18675,7732,5619,1950,608,199,107
"2021","Gravesham","E07000109",41724,0,11212,12749,7250,6607,2631,853,265,157
"2021","Maidstone","E07000110",71207,0,18800,25050,12023,10546,3349,959,293,187
"2021","Sevenoaks","E07000111",49011,0,12990,16893,8198,7760,2396,562,130,82
"2021","Folkestone and Hythe","E07000112",48339,0,15728,17799,6863,5199,1821,629,195,105
"2021","Swale","E07000113",60495,0,15957,21206,10223,8451,3029,1057,379,193
"2021","Thanet","E07000114",62200,0,20839,21791,9244,6716,2430,806,233,141
"2021","Tonbridge and Malling","E07000115",53576,0,13698,18695,9279,8511,2568,599,153,73
"2021","Tunbridge Wells","E07000116",48222,0,14198,16415,7762,7104,2089,482,106,66
"2021","Cherwell","E07000177",65893,0,17339,23650,11378,9456,2834,845,243,148
"2021","Oxford","E07000178",55239,0,16096,17088,8842,7476,3182,1310,682,563
"2021","South Oxfordshire","E07000179",61497,0,16105,22830,10037,9007,2639,640,165,74
"2021","Vale of White Horse","E07000180",57498,0,15437,21323,9425,8098,2408,590,152,65
"2021","West Oxfordshire","E07000181",47981,0,13206,18068,7774,6394,1934,444,109,52
"2021","Elmbridge","E07000207",55591,0,14972,17591,9490,10074,2721,554,136,53
"2021","Epsom and Ewell","E07000208",31320,0,7625,9961,5705,5782,1616,415,135,81
"2021","Guildford","E07000209",55763,0,14840,19409,9288,8706,2597,672,162,89
"2021","Mole Valley","E07000210",37140,0,11053,13163,5699,5208,1515,356,94,52
"2021","Reigate and Banstead","E07000211",59849,0,15797,19597,10617,9950,2869,732,183,104
"2021","Runnymede","E07000212",34839,0,9939,11461,5859,5188,1678,501,146,67
"2021","Spelthorne","E07000213",41805,0,11665,13315,7490,6538,1956,560,179,102
