date,geography,geography code,Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census,Hours worked: Part-time,Hours worked: Part-time: 15 hours or less worked,Hours worked: Part-time: 16 to 30 hours worked,Hours worked: Full-time,Hours worked: Full-time: 31 to 48 hours worked,Hours worked: Full-time: 49 or more hours worked
2021,Manchester,E08000003,234283,74425,25672,48753,159858,142505,17353
2021,Oldham,E08000004,98206,31334,9088,22246,66872,59308,7564
2021,Rochdale,E08000005,94459,27578,8024,19554,66881,59047,7834
2021,Salford,E08000006,127606,35294,11306,23988,92312,81921,10391
2021,Stockport,E08000007,139807,40202,13170,27032,99605,86908,12697
2021,Tameside,E08000008,105654,29213,8523,20690,76441,68222,8219
2021,Trafford,E08000009,111558,31656,10658,20998,79902,68817,11085
2021,Wigan,E08000010,154614,41925,12340,29585,112689,98905,13784
2021,Knowsley,E08000011,69492,20077,5416,14661,49415,44340,5075
2021,Liverpool,E08000012,205750,64927,21722,43205,140823,125475,15348
2021,St. Helens,E08000013,82623,22346,6605,15741,60277,52995,7282
2021,Sefton,E08000014,124597,39046,12151,26895,85551,74317,11234
2021,Wirral,E08000015,139503,42949,13409,29540,96554,84595,11959
2021,Barnsley,E08000016,111680,31992,9142,22850,79688,68527,11161
2021,Doncaster,E08000017,137858,39882,11361,28521,97976,83659,14317
2021,Rotherham,E08000018,117803,35033,9993,25040,82770,71465,11305
2021,Sheffield,E08000019,242007,80296,25656,54640,161711,142795,18916
2021,Newcastle upon Tyne,E08000021,125077,41814,14916,26898,83263,72848,10415
2021,North Tyneside,E08000022,97265,28129,7898,20231,69136,60931,8205
2021,South Tyneside,E08000023,62508,18535,5108,13427,43973,38273,5700
2021,Sunderland,E08000024,117152,34704,9391,25313,82448,73524,8924
2021,Birmingham,E08000025,442418,146182,49418,96764,296236,261443,34793
2021,Coventry,E08000026,150143,43039,14424,28615,107104,95752,11352
2021,Dudley,E08000027,144640,42808,13105,29703,101832,88508,13324
2021,Sandwell,E08000028,141072,42294,12726,29568,98778,87725,11053
2021,Solihull,E08000029,97939,27862,9825,18037,70077,59863,10214
2021,Walsall,E08000030,118533,35900,10648,25252,82633,71975,10658
2021,Wolverhampton,E08000031,111309,32165,9886,22279,79144,69418,9726
2021,Bradford,E08000032,221137,74807,21924,52883,146330,129284,17046
2021,Calderdale,E08000033,93381,29156,9199,19957,64225,55532,8693
2021,Kirklees,E08000034,190084,60633,18857,41776,129451,112439,17012
2021,Leeds,E08000035,374064,108902,35882,73020,265162,231990,33172
2021,Wakefield,E08000036,164641,45171,12950,32221,119470,103426,16044
2021,Gateshead,E08000037,87518,25535,7400,18135,61983,54932,7051
2021,City of London,E09000001,5351,885,386,499,4466,2760,1706
2021,Barking and Dagenham,E09000002,94588,30887,10801,20086,63701,55490,8211
2021,Barnet,E09000003,186175,59680,23760,35920,126495,101785,24710
2021,Bexley,E09000004,117985,32581,11593,20988,85404,73640,11764
2021,Brent,E09000005,160997,49520,18564,30956,111477,93506,17971
2021,Bromley,E09000006,162122,44067,16708,27359,118055,97180,20875
2021,Camden,E09000007,102511,27005,11879,15126,75506,55453,20053
2021,Croydon,E09000008,189405,55569,20311,35258,133836,114645,19191
2021,Ealing,E09000009,175026,50994,19422,31572,124032,103442,20590
2021,Enfield,E09000010,143864,50819,17931,32888,93045,79164,13881
2021,Greenwich,E09000011,142937,37837,13717,24120,105100,87019,18081
2021,Hackney,E09000012,134310,39474,14022,25452,94836,76457,18379
2021,Hammersmith and Fulham,E09000013,98093,22605,9497,13108,75488,56608,18880
2021,Haringey,E09000014,134381,43466,16523,26943,90915,74963,15952
2021,Harrow,E09000015,125037,36539,13761,22778,88498,73682,14816
2021,Havering,E09000016,124781,35210,12636,22574,89571,76496,13075
2021,Hillingdon,E09000017,142803,40514,14778,25736,102289,87797,14492
2021,Hounslow,E09000018,138800,40321,15624,24697,98479,84207,14272
2021,Islington,E09000019,114970,26896,11025,15871,88074,67481,20593
2021,Kensington and Chelsea,E09000020,69440,17605,7610,9995,51835,33155,18680
2021,Kingston upon Thames,E09000021,84148,23635,9292,14343,60513,49806,10707
2021,Lambeth,E09000022,182818,42625,16700,25925,140193,112911,27282
2021,Lewisham,E09000023,155712,44172,16083,28089,111540,94030,17510
2021,Merton,E09000024,112065,30296,11570,18726,81769,66670,15099
2021,Newham,E09000025,163445,52698,18670,34028,110747,94325,16422
