Nature of Organisation,Beneficiary Group,Charity,Food Moved KG,Food Moved Meal Equivalents,CFMs Served,CFM Beneficiaries,Value of food,date - Year,long,lat,name,details.address.postcode,allocationpostcode,ONS Postcode Lookup.lat,ONS Postcode Lookup.long
Community centre,,BHT Early Education & Training,156.4,372.3884,1,115,509.33,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD4 9EB,53.77655,-1.717483
Community centre,,BHT Early Education & Training,45.4,108.0974,1,115,141.65,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD4 9EB,53.77655,-1.717483
Community centre,,BHT Early Education & Training,91.3,217.3853,1,115,320.53,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD4 9EB,53.77655,-1.717483
Day centre / Drop in centre,,Bradford Deaf Centre (YSH),19.3,45.9533,1,115,97.60,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD1 3RP,53.798557,-1.760953
Food service only,,Bradford Inn Churches (YSH),37,88.097,1,115,264.18,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD4 7BQ,53.788026,-1.746248
Food service only,,Bradford Inn Churches (YSH),137.48,327.33988,1,115,981.61,2023,-1.413575,53.533241,Vegetable,S73 8HA,BD4 7BQ,53.788026,-1.746248
Food service only,,Bradford Inn Churches (YSH),23.2,55.2392,1,115,165.65,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD4 7BQ,53.788026,-1.746248
Food service only,,Catch/Ark (Community Action To Create Hope) LW,0,0,1,115,0.00,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 3QY,53.816336,-1.512463
Food service only,,Cavendish Primary School,32.2,76.6682,1,115,100.46,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD2 2DU,53.820525,-1.72024
Food service only,,Cavendish Primary School,65.4,155.7174,1,115,204.05,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD2 2DU,53.820525,-1.72024
Food service only,,Cavendish Primary School,13.2,31.4292,1,115,41.18,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD2 2DU,53.820525,-1.72024
Food service only,,Cavendish Primary School,83.7,199.2897,1,115,430.29,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD2 2DU,53.820525,-1.72024
Food service only,,Cavendish Primary School,91.5,217.8615,1,115,422.06,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD2 2DU,53.820525,-1.72024
Community centre,,Clapgate Primary School,28.4,67.6204,1,115,88.61,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 4AW,53.751864,-1.521232
Community centre,,Clapgate Primary School,81.8,194.7658,1,115,259.24,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4AW,53.751864,-1.521232
Community centre,,Clapgate Primary School,7.6,18.0956,1,115,23.71,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 4AW,53.751864,-1.521232
Community centre,,Clapgate Primary School,137.4,327.1494,1,115,674.01,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4AW,53.751864,-1.521232
Community centre,,Clapgate Primary School,75.5,179.7655,1,115,361.39,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4AW,53.751864,-1.521232
Food service only,,Communityworks - Bradford,10,23.81,1,115,31.20,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD3 0DW,53.803162,-1.740793
Food service only,,Communityworks - Bradford,140,333.34,1,115,454.14,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD3 0DW,53.803162,-1.740793
Food service only,,Communityworks - Bradford,45.4,108.0974,1,115,141.65,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD3 0DW,53.803162,-1.740793
Food service only,,Communityworks - Bradford,169.7,404.0557,1,115,818.90,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD3 0DW,53.803162,-1.740793
Food service only,,Communityworks - Bradford,17.4,41.4294,1,115,54.29,2024,-1.551651,53.790612,Fruit,LS11 5JJ,BD3 0DW,53.803162,-1.740793
Food service only,,Communityworks - Bradford,99.2,236.1952,1,115,467.09,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD3 0DW,53.803162,-1.740793
Food service only,,Family Action Armley Children's Centre,8,19.048,1,115,24.96,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS12 1UT,53.796547,-1.586986
,,Family Action Club - Gipton South Children's Centre,24.15,57.50115,1,115,97.66,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 6QJ,53.807217,-1.491336
Food service only,,Family Action Henry Barran Community Centre,24.15,57.50115,1,115,97.66,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 3JR,53.81635,-1.495751
Food service only,,Food for Life (Tuesday),6,14.286,1,115,18.72,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD10 9HT,53.828308,-1.723607
Food service only,,Food for Life (Tuesday),79.3,188.8133,1,115,299.72,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD10 9HT,53.828308,-1.723607
Food service only,,Food for Life (Tuesday),28.2,67.1442,1,115,87.98,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD10 9HT,53.828308,-1.723607
Food service only,,Food for Life (Tuesday),150.6,358.5786,1,115,587.32,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD10 9HT,53.828308,-1.723607
Food service only,,Food for Life (Tuesday),83.8,199.5278,1,115,401.35,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD10 9HT,53.828308,-1.723607
Food service only,,Food Revival/ Rethink Food (YSH),300,714.3,1,115,"2,142.00",2022,-1.413575,53.533241,Vegetable,S73 8HA,LS28 6LF,53.804128,-1.659735
,,FoodCycle Beeston,0,0,1,115,0.00,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS11 8PD,53.779605,-1.554298
,,FoodCycle Beeston,126.7,301.6727,1,115,554.09,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS11 8PD,53.779605,-1.554298
,,FoodCycle Seacroft,16,38.096,1,115,49.92,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS14 6JB,53.817456,-1.458662
,,FoodCycle Seacroft,115.6,275.2436,1,115,433.16,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS14 6JB,53.817456,-1.458662
Day centre / Drop in centre,,"Give-a-Gift, (The Muslim Kitchen)",31,73.811,1,115,96.72,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS8 4HS,53.816931,-1.517408
Day centre / Drop in centre,,"Give-a-Gift, (The Muslim Kitchen)",134.2,319.5302,1,115,418.70,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 4HS,53.816931,-1.517408
Day centre / Drop in centre,,"Give-a-Gift, (The Muslim Kitchen)",18.4,43.8104,1,115,57.41,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS8 4HS,53.816931,-1.517408
Day centre / Drop in centre,,"Give-a-Gift, (The Muslim Kitchen)",154.8,368.5788,1,115,870.13,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 4HS,53.816931,-1.517408
Day centre / Drop in centre,,"Give-a-Gift, (The Muslim Kitchen)",17.4,41.4294,1,115,54.29,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS8 4HS,53.816931,-1.517408
Day centre / Drop in centre,,"Give-a-Gift, (The Muslim Kitchen)",89.1,212.1471,1,115,300.03,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 4HS,53.816931,-1.517408
Food service only,,Hamara HLC (YSH),116.3,276.9103,1,115,729.88,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS11 6RD,53.772544,-1.55058
Food service only,,Hamara HLC (YSH),335.38,798.53978,1,115,"2,314.21",2023,-1.413575,53.533241,Vegetable,S73 8HA,LS11 6RD,53.772544,-1.55058
Food service only,,Hamara HLC (YSH),71.364,169.917684,1,115,509.54,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS11 6RD,53.772544,-1.55058
Day centre / Drop in centre,,Happy Days UK Banqueting Table (YSH),76.7,182.6227,1,115,467.24,2022,-1.413575,53.533241,Vegetable,S73 8HA,HX1 1YS,53.724603,-1.864019
Day centre / Drop in centre,,Happy Days UK Banqueting Table (YSH),67.28,160.19368,1,115,440.18,2023,-1.413575,53.533241,Vegetable,S73 8HA,HX1 1YS,53.724603,-1.864019
Food service only,,Headfield Junior School (YSH),80,190.48,1,115,490.80,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF12 9PD,53.678462,-1.634315
Food service only,,Headfield Junior School (YSH),107,254.767,1,115,871.08,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF12 9PD,53.678462,-1.634315
Food service only,,Headfield Junior School (YSH),37.664,89.677984,1,115,268.92,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF12 9PD,53.678462,-1.634315
Food service only,,HfA Cranmore Food Pantry,6,14.286,1,115,18.72,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 4AW,53.751864,-1.521232
Food service only,,HfA Cranmore Food Pantry,73.6,175.2416,1,115,241.28,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4AW,53.751864,-1.521232
Food service only,,HfA Cranmore Food Pantry,23.2,55.2392,1,115,72.38,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 4AW,53.751864,-1.521232
Food service only,,HfA Cranmore Food Pantry,143.9,342.6259,1,115,832.78,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4AW,53.751864,-1.521232
Food service only,,HfA Cranmore Food Pantry,5.8,13.8098,1,115,18.10,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 4AW,53.751864,-1.521232
Food service only,,HfA Cranmore Food Pantry,112.6,268.1006,1,115,482.15,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4AW,53.751864,-1.521232
School,,High Crags School Foodbank,72.6,172.8606,1,115,320.05,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD18 2ES,53.828782,-1.769593
School,,High Crags School Foodbank,22,52.382,1,115,157.08,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD18 2ES,53.828782,-1.769593
School,,High Crags School Foodbank,28.2,67.1442,1,115,87.98,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD18 2ES,53.828782,-1.769593
School,,High Crags School Foodbank,137.2,326.6732,1,115,541.67,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD18 2ES,53.828782,-1.769593
School,,High Crags School Foodbank,69.48,165.43188,1,115,496.09,2023,-1.413575,53.533241,Vegetable,S73 8HA,BD18 2ES,53.828782,-1.769593
School,,High Crags School Foodbank,78.4,186.6704,1,115,407.02,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD18 2ES,53.828782,-1.769593
School,,High Crags School Foodbank,31.4,74.7634,1,115,224.20,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD18 2ES,53.828782,-1.769593
Community centre,,Kirkstall Valley Development Trust (HH),9.6,22.8576,1,115,29.95,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS4 2PU,53.810294,-1.586065
Food service only,,Kirkstall Valley Development Trust (KVDT) LW,161,383.341,1,115,928.44,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS5 3JN,53.818303,-1.601582
Food service only,,Kirkstall Valley Development Trust (KVDT) LW,5.8,13.8098,1,115,18.10,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS5 3JN,53.818303,-1.601582
Food service only,,Kirkstall Valley Development Trust (KVDT) LW,67.4,160.4794,1,115,215.11,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS5 3JN,53.818303,-1.601582
School,,Knowleswood Primary (School Home Support),19.4,46.1914,1,115,60.53,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD4 9AE,53.774022,-1.716711
School,,Knowleswood Primary (School Home Support),178.5,425.0085,1,115,580.64,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD4 9AE,53.774022,-1.716711
School,,Knowleswood Primary (School Home Support),21.4,50.9534,1,115,66.77,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD4 9AE,53.774022,-1.716711
School,,Knowleswood Primary (School Home Support),79.3,188.8133,1,115,259.95,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD4 9AE,53.774022,-1.716711
School,,Knowleswood Primary (School Home Support),5.8,13.8098,1,115,18.10,2024,-1.551651,53.790612,Fruit,LS11 5JJ,BD4 9AE,53.774022,-1.716711
School,,Knowleswood Primary (School Home Support),93.2,221.9092,1,115,290.78,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD4 9AE,53.774022,-1.716711
Food service only,,Lower Grange Community Association (YSH),33.3,79.2873,1,115,157.36,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD8 0RF,53.795582,-1.817276
Food service only,,Lower Grange Community Association (YSH),354.36,843.73116,1,115,"2,449.73",2023,-1.413575,53.533241,Vegetable,S73 8HA,BD8 0RF,53.795582,-1.817276
Food service only,,Lower Grange Community Association (YSH),50.1,119.2881,1,115,357.71,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD8 0RF,53.795582,-1.817276
Food service only,,LWSS Council support Hubs,78,185.718,1,115,243.36,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 0NP,53.783194,-1.502891
Food service only,,LWSS Council support Hubs,7.8,18.5718,1,115,24.34,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS9 0NP,53.783194,-1.502891
Food service only,,LWSS Council support Hubs,192.9,459.2949,1,115,364.67,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 0NP,53.783194,-1.502891
Food service only,,LWSS Council support Hubs,11.6,27.6196,1,115,36.19,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS9 0NP,53.783194,-1.502891
Food service only,,LWSS Council support Hubs,100.2,238.5762,1,115,629.89,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 0NP,53.783194,-1.502891
Food service only,,Manorfield Hall Foodbank,23,54.763,1,115,71.76,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 3RR,53.754442,-1.531815
Food service only,,Manorfield Hall Foodbank,187.35,446.08035,1,115,673.03,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 3RR,53.754442,-1.531815
Food service only,,Manorfield Hall Foodbank,33.4,79.5254,1,115,104.21,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 3RR,53.754442,-1.531815
Food service only,,Manorfield Hall Foodbank,165.9,395.0079,1,115,869.43,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 3RR,53.754442,-1.531815
Food service only,,Manorfield Hall Foodbank,17.4,41.4294,1,115,54.29,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 3RR,53.754442,-1.531815
Food service only,,Manorfield Hall Foodbank,169.8,404.2938,1,115,779.08,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 3RR,53.754442,-1.531815
Community centre,,Nik Nik's Bizzy Bees (YSH),50,119.05,1,115,316.80,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF12 0QX,53.663716,-1.623728
Community centre,,Nik Nik's Bizzy Bees (YSH),107.5,255.9575,1,115,767.55,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF12 0QX,53.663716,-1.623728
Community centre,,Nik Nik's Bizzy Bees (YSH),46.164,109.916484,1,115,329.61,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF12 0QX,53.663716,-1.623728
Advice / Resource centre,,Noah's Ark Money Advice Service (Food Hub),38.8,92.3828,1,115,121.06,2022,-1.551651,53.790612,Fruit,LS11 5JJ,HX3 5TJ,53.742036,-1.877366
Advice / Resource centre,,Noah's Ark Money Advice Service (Food Hub),71.55,170.36055,1,115,232.88,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,HX3 5TJ,53.742036,-1.877366
Advice / Resource centre,,Noah's Ark Money Advice Service (Food Hub),27.5,65.4775,1,115,156.15,2022,-1.413575,53.533241,Vegetable,S73 8HA,HX3 5TJ,53.742036,-1.877366
Advice / Resource centre,,Noah's Ark Money Advice Service (Food Hub),7.6,18.0956,1,115,23.71,2023,-1.551651,53.790612,Fruit,LS11 5JJ,HX3 5TJ,53.742036,-1.877366
Advice / Resource centre,,Noah's Ark Money Advice Service (Food Hub),162.1,385.9601,1,115,891.69,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,HX3 5TJ,53.742036,-1.877366
Advice / Resource centre,,Noah's Ark Money Advice Service (Food Hub),160.68,382.57908,1,115,"1,147.26",2023,-1.413575,53.533241,Vegetable,S73 8HA,HX3 5TJ,53.742036,-1.877366
Advice / Resource centre,,Noah's Ark Money Advice Service (Food Hub),96.4,229.5284,1,115,402.07,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,HX3 5TJ,53.742036,-1.877366
Advice / Resource centre,,Noah's Ark Money Advice Service (Food Hub),27.2,64.7632,1,115,194.21,2024,-1.413575,53.533241,Vegetable,S73 8HA,HX3 5TJ,53.742036,-1.877366
Community centre,,Quba Community Hub (YSH),75.5,179.7655,1,115,458.67,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF12 9DZ,53.674458,-1.636896
Community centre,,Quba Community Hub (YSH),139.08,331.14948,1,115,972.93,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF12 9DZ,53.674458,-1.636896
Community centre,,Quba Community Hub (YSH),1.77636E-15,4.22951E-15,1,115,0.00,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF12 9DZ,53.674458,-1.636896
Food service only,,Right Choices Food Bank,32.2,76.6682,1,115,100.46,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS6 3HN,53.820336,-1.578504
Food service only,,Right Choices Food Bank,98.6,234.7666,1,115,318.53,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS6 3HN,53.820336,-1.578504
Food service only,,Right Choices Food Bank,23.2,55.2392,1,115,72.38,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS6 3HN,53.820336,-1.578504
Food service only,,Right Choices Food Bank,59.4,141.4314,1,115,155.38,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS6 3HN,53.820336,-1.578504
Food service only,,Right Choices Food Bank,33,78.573,1,115,102.96,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS6 3HN,53.820336,-1.578504
Community centre,,RiverTree Trust (YSH),79.8,190.0038,1,115,489.37,2022,-1.413575,53.533241,Vegetable,S73 8HA,HD1 4SH,53.642065,-1.802104
Community centre,,RiverTree Trust (YSH),210.28,500.67668,1,115,"1,461.20",2023,-1.413575,53.533241,Vegetable,S73 8HA,HD1 4SH,53.642065,-1.802104
Community centre,,RiverTree Trust (YSH),27.2,64.7632,1,115,194.21,2024,-1.413575,53.533241,Vegetable,S73 8HA,HD1 4SH,53.642065,-1.802104
Food service only,,Russell's Pantry (Russell Hall Primary School),37.2,88.5732,1,115,116.06,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD13 2AW,53.766542,-1.8497
Food service only,,Russell's Pantry (Russell Hall Primary School),103,245.243,1,115,325.38,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD13 2AW,53.766542,-1.8497
Food service only,,Russell's Pantry (Russell Hall Primary School),13.2,31.4292,1,115,41.18,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD13 2AW,53.766542,-1.8497
Food service only,,Russell's Pantry (Russell Hall Primary School),126.1,300.2441,1,115,743.57,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD13 2AW,53.766542,-1.8497
Food service only,,Russell's Pantry (Russell Hall Primary School),23.2,55.2392,1,115,72.38,2024,-1.551651,53.790612,Fruit,LS11 5JJ,BD13 2AW,53.766542,-1.8497
Food service only,,Russell's Pantry (Russell Hall Primary School),86.7,206.4327,1,115,343.57,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD13 2AW,53.766542,-1.8497
Community centre,,Scholemoor Beacon,62.9,149.7649,1,115,219.97,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD7 2RJ,53.784794,-1.7987
Food service only,,St Cross Community Action,19.35,46.07235,1,115,60.37,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4HT,53.744103,-1.547426
Food service only,,St Giles Trust - Yorkshire Pantry (YSH),26.1,62.1441,1,115,186.35,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS7 3HZ,53.812619,-1.535647
Food service only,,St Giles Trust - Yorkshire Pantry (YSH),42.5,101.1925,1,115,303.45,2023,-1.413575,53.533241,Vegetable,S73 8HA,LS7 3HZ,53.812619,-1.535647
Food service only,,St Giles Trust - Yorkshire Pantry (YSH),16.3,38.8103,1,115,116.38,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS7 3HZ,53.812619,-1.535647
Food service only,,Swinnow Community Centre,67.4,160.4794,1,115,210.29,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS13 4RF,53.800354,-1.642522
Food service only,,Swinnow Community Centre,134.65,320.60165,1,115,458.15,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS13 4RF,53.800354,-1.642522
Food service only,,Swinnow Community Centre,30.8,73.3348,1,115,96.10,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS13 4RF,53.800354,-1.642522
Food service only,,Swinnow Community Centre,238.4,567.6304,1,115,929.34,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS13 4RF,53.800354,-1.642522
Food service only,,Swinnow Community Centre,153.4,365.2454,1,115,"1,006.84",2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS13 4RF,53.800354,-1.642522
Day centre / Drop in centre,,The Life Centre (YSH),65.3,155.4793,1,115,426.04,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD4 6BU,53.764742,-1.730456
Day centre / Drop in centre,,The Life Centre (YSH),41.98,99.95438,1,115,299.74,2023,-1.413575,53.533241,Vegetable,S73 8HA,BD4 6BU,53.764742,-1.730456
Food service only,,Thornbury Food Hub,11,26.191,1,115,34.32,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD3 7AU,53.796051,-1.70882
Food service only,,Thornbury Food Hub,100,238.1,1,115,318.54,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD3 7AU,53.796051,-1.70882
Food service only,,Thornbury Food Hub,30.6,72.8586,1,115,95.47,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD3 7AU,53.796051,-1.70882
Food service only,,Thornbury Food Hub,100.1,238.3381,1,115,336.91,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD3 7AU,53.796051,-1.70882
Food service only,,Thornbury Food Hub,11.6,27.6196,1,115,36.19,2024,-1.551651,53.790612,Fruit,LS11 5JJ,BD3 7AU,53.796051,-1.70882
Food service only,,Thornbury Food Hub,123.4,293.8154,1,115,576.36,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD3 7AU,53.796051,-1.70882
Food service only,,UCKG Community Soup Kitchen,28.4,67.6204,1,115,88.61,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS2 7QA,53.801535,-1.532946
Food service only,,UCKG Community Soup Kitchen,137.7,327.8637,1,115,441.27,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS2 7QA,53.801535,-1.532946
Food service only,,UCKG Community Soup Kitchen,20,47.62,1,115,62.40,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS2 7QA,53.801535,-1.532946
Food service only,,UCKG Community Soup Kitchen,197.6,470.4856,1,115,938.21,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS2 7QA,53.801535,-1.532946
Food service only,,UCKG Community Soup Kitchen,88.3,210.2423,1,115,408.56,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS2 7QA,53.801535,-1.532946
,,Volunteers FSY Leeds,19.7,46.9057,1,115,0.00,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS11 5JJ,53.790612,-1.551651
,,Volunteers FSY Leeds,10.2,24.2862,1,115,64.26,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS11 5JJ,53.790612,-1.551651
School,,Westwood Primary School,28.4,67.6204,1,115,88.61,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 4NU,53.746986,-1.554082
School,,Westwood Primary School,81.8,194.7658,1,115,259.24,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4NU,53.746986,-1.554082
School,,Westwood Primary School,7.6,18.0956,1,115,23.71,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 4NU,53.746986,-1.554082
School,,Westwood Primary School,115.1,274.0531,1,115,514.79,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4NU,53.746986,-1.554082
School,,Westwood Primary School,75.5,179.7655,1,115,361.39,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4NU,53.746986,-1.554082
Food service only,,Yorkshire Pantry (Leeds) St Giles Trust,31.4,74.7634,1,115,97.97,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 3HY,53.812166,-1.53465
Food service only,,Yorkshire Pantry (Leeds) St Giles Trust,149.05,354.88805,1,115,539.46,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 3HY,53.812166,-1.53465
Food service only,,Yorkshire Pantry (Leeds) St Giles Trust,23.4,55.7154,1,115,73.01,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 3HY,53.812166,-1.53465
Food service only,,Yorkshire Pantry (Leeds) St Giles Trust,80.1,190.7181,1,115,416.74,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 3HY,53.812166,-1.53465
Food service only,,Yorkshire Pantry (Leeds) St Giles Trust,47,111.907,1,115,335.58,2023,-1.413575,53.533241,Vegetable,S73 8HA,LS7 3HY,53.812166,-1.53465
Food service only,,Yorkshire Pantry (Leeds) St Giles Trust,5.8,13.8098,1,115,18.10,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 3HY,53.812166,-1.53465
Food service only,,Yorkshire Pantry (Leeds) St Giles Trust,187.2,445.7232,1,115,996.52,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 3HY,53.812166,-1.53465
Food service only,,Yorkshire Pantry (Leeds) St Giles Trust,37.664,89.677984,1,115,268.92,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS7 3HY,53.812166,-1.53465
Food service only,Asylum seekers & refugees,AfroLatino Café,7.5,17.8575,1,115,36.06,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 5NA,53.810885,-1.524919
Community centre,Asylum seekers & refugees,Bradford Deaf Community Association,26.4,62.8584,1,115,82.37,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD1 3RP,53.798557,-1.760953
Community centre,Asylum seekers & refugees,Bradford Deaf Community Association,119.4,284.2914,1,115,375.80,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD1 3RP,53.798557,-1.760953
Community centre,Asylum seekers & refugees,Bradford Deaf Community Association,15.4,36.6674,1,115,48.05,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD1 3RP,53.798557,-1.760953
Community centre,Asylum seekers & refugees,Bradford Deaf Community Association,235.1,559.7731,1,115,908.05,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD1 3RP,53.798557,-1.760953
Community centre,Asylum seekers & refugees,Bradford Deaf Community Association,151.24,360.10244,1,115,"1,079.85",2023,-1.413575,53.533241,Vegetable,S73 8HA,BD1 3RP,53.798557,-1.760953
Community centre,Asylum seekers & refugees,Bradford Deaf Community Association,154.7,368.3407,1,115,883.46,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD1 3RP,53.798557,-1.760953
Community centre,Asylum seekers & refugees,Bradford Deaf Community Association,53,126.193,1,115,378.42,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD1 3RP,53.798557,-1.760953
